kommun_kod,kommun_namn,lan,org_nr,webbplats,diarium_url,contact_count,confidence,verified_at,notes
0330,Knivsta,Uppsala län,212000-3013,http://www.knivsta.se,,3,high,2026-05-17,
0331,Heby,Uppsala län,212000-2049,http://www.heby.se,,7,low,2026-05-17,
0360,Tierp,Uppsala län,212000-0266,https://www.tierp.se/,,2,medium,2026-05-17,
0380,Uppsala,Uppsala län,212000-3005,http://www.uppsala.se,,9,high,2026-05-17,
0381,Enköping,Uppsala län,212000-0282,https://enkoping.se,,1,medium,2026-05-17,
0382,Östhammar,Uppsala län,212000-0290,http://www.osthammar.se,,2,medium,2026-05-17,
0428,Vingåker,Södermanlands län,212000-0308,http://www.vingaker.se,,1,medium,2026-05-17,
0461,Gnesta,Södermanlands län,212000-2965,http://www.gnesta.se,,1,medium,2026-05-17,
0480,Nyköping,Södermanlands län,212000-2940,https://nykoping.se,,6,medium,2026-05-17,
0481,Oxelösund,Södermanlands län,212000-0324,http://www.oxelosund.se,,1,medium,2026-05-17,
0482,Flen,Södermanlands län,212000-0332,https://flen.se,,2,medium,2026-05-17,
0483,Katrineholm,Södermanlands län,212000-0340,https://www.katrineholm.se,,4,medium,2026-05-17,
0484,Eskilstuna,Södermanlands län,212000-0357,http://www.eskilstuna.se,,12,high,2026-05-17,
0486,Strängnäs,Södermanlands län,212000-0365,https://www.strangnas.se/,,6,medium,2026-05-17,
0488,Trosa,Södermanlands län,212000-2957,https://www.trosa.se/,,2,medium,2026-05-17,
0509,Ödeshög,Östergötlands län,212000-0373,http://www.odeshog.se,,6,high,2026-05-17,
0512,Ydre,Östergötlands län,212000-0381,http://www.ydre.se,,1,medium,2026-05-17,
0513,Kinda,Östergötlands län,212000-0399,http://www.kinda.se,,4,medium,2026-05-17,
0560,Boxholm,Östergötlands län,212000-0407,http://www.boxholm.se,,4,high,2026-05-17,
0561,Åtvidaberg,Östergötlands län,212000-0415,http://www.atvidaberg.se,,5,high,2026-05-17,
0562,Finspång,Östergötlands län,212000-0423,http://www.finspang.se,,1,medium,2026-05-17,
0563,Valdemarsvik,Östergötlands län,212000-0431,http://www.valdemarsvik.se,,1,medium,2026-05-17,
0580,Linköping,Östergötlands län,212000-0449,http://www.linkoping.se,,4,high,2026-05-17,
0581,Norrköping,Östergötlands län,212000-0456,http://www.norrkoping.se,,1,medium,2026-05-17,
0582,Söderköping,Östergötlands län,212000-0464,http://www.soderkoping.se,,3,medium,2026-05-17,
0583,Motala,Östergötlands län,212000-2817,http://www.motala.se,,1,medium,2026-05-17,
0584,Vadstena,Östergötlands län,212000-2825,http://www.vadstena.se,,2,high,2026-05-17,
0586,Mjölby,Östergötlands län,212000-0480,http://www.mjolby.se,,1,medium,2026-05-17,
0604,Aneby,Jönköpings län,212000-0498,http://www.aneby.se,,2,medium,2026-05-16,
0617,Gnosjö,Jönköpings län,212000-0506,http://www.gnosjo.se,,0,low,2026-05-17,homepage fetch failed: fetch failed
